"id_cnpj","reg","dt_ini","dt_fin","vl_tot_debitos","vl_tot_debitos_sped","diff_total_debito","vl_aj_debitos","vl_tot_aj_debitos","vl_estornos_cred","total_ajuste_debitos","vl_tot_creditos","vl_tot_creditos_sped","diff_tot_creditos","vl_aj_creditos","vl_tot_aj_creditos","vl_estornos_deb","total_ajuste_creditos","vl_sld_credor_ant_sped","vl_sld_credor_ant","diff_sld_credor_ant","vl_tot_ded","deb_esp","vl_apurado_no_periodo","apuracao_icms","id_importation","dt_created","dt_updated","year","month","day","hour","minute","rown"
"35068230000258",E100,"01/12/2023","31/12/2023",565693.5299999985,"565693,53",0.0000000015133992,"0",1814.97,2888.69,4703.66,80033.65999999992,"80033,66",0.0000000000873115,"0",0.0,436692.41,436692.41,"0","53671.12",26362.53999999995,"0","0",53671.12000000005,53671.12000000005,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000177",E100,"01/05/2023","31/05/2023",0.0,"0",0.0,"0",0.0,0.0,0.0,0.0,"0",0.0,"0",0.0,0.0,0.0,"0","0.00",0.0,"0","0",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000951",E100,"01/02/2023","28/02/2023",40201.48999999996,"40201,49",0.0000000000363798,"0,00",0.0,0.0,0.0,54312.34999999998,"54312,35",0.0000000000218279,"0,00",0.0,0.0,0.0,"2258,00",-16368.86,70681.20999999999,"0,00","0,00",-14110.86,-16368.86,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000790",E100,"01/07/2023","31/07/2023",66539.91999999998,"66539,92",0.0000000000145519,"0,00",0.0,0.0,0.0,31071.169999999984,"31071,17",0.0000000000145519,"0,00",35468.75,0.0,35468.75,"0,00","0.00",31071.17,"0,00","0,00",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000870",E100,"01/11/2023","30/11/2023",26081.98999999999,"26081,99",0.0000000000109139,"0",2148.48,0.0,2148.48,15010.180000000004,"15010,18",-0.000000000003638,"0",0.0,0.0,0.0,"13220,29","0.00",15010.18,"0","0",13220.29,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000528",E100,"01/04/2023","30/04/2023",133181.05000000022,"133181,05",-0.0000000002328306,"250,16",0.0,0.0,250.16,393624.9899999998,"393624,99",0.000000000174623,"155,4",0.0,0.0,155.4,"0",-260349.18,653974.1699999999,"0","0",-260349.18,-260349.18,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000870",E100,"01/06/2023","30/06/2023",48814.519999999975,"48814,52",0.0000000000218279,"0",0.0,0.0,0.0,35959.75000000003,"35959,75",-0.0000000000291038,"0",0.0,0.0,0.0,"15741,55",-2886.78,38846.53,"0","0",12854.769999999997,-2886.7800000000025,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000102",E100,"01/11/2023","30/11/2023",38103.29999999998,"38103,3",0.0000000000218279,"2202,02",948551.7,0.0,950753.72,17407.58,"17407,58",0.0,"1333,91",2148.48,0.0,3482.3900000000003,"0","967967.05",-950559.4700000001,"0","0",967967.05,967967.05,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000447",E100,"01/01/2023","31/01/2023",106359.20000000001,"106359,2",-0.0000000000145519,"0",0.0,0.0,0.0,91465.04000000005,"91465,04",-0.0000000000582077,"0",14894.16,0.0,14894.16,"0","0.00",91465.04,"0","0",0.000000000003638,0.000000000003638,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000609",E100,"01/10/2023","31/10/2023",351503.22000000003,"351503,22",-0.0000000000582077,"0",0.0,0.0,0.0,172924.69000000018,"172924,69",-0.000000000174623,"0",178578.53,0.0,178578.53,"0",-0.00,172924.69000000003,"0","0",-0.0000000000291038,-0.0000000000291038,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661001176",E100,"01/12/2023","31/12/2023",42094.34999999998,"42094,35",0.0000000000218279,"0",0.0,0.0,0.0,9947.58,"9947,58",0.0,"0",32146.77,0.0,32146.77,"0",-0.00,9947.580000000004,"0","0",-0.000000000003638,-0.000000000003638,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
